text
"Регистрация в системе маркировки пива и слабоалкогольных напитков Приглашаем вас присоединиться к системе маркировки пива и слабоалкогольных напитков Честный знак! Посмотрите всю основную информацию о маркировке пива и пройдите все необходимые шаги по подготовке вашего предприятия к маркировке, в зависимости от типа участия вашей организации. Выберите тип участника и узнайте всё о маркировке пива и слабоалкогольных напитков: Производитель/Импортер Смотреть Розничная торговля Смотреть Хорека Смотреть Не нашли что искали? Задайте вопрос 
			  в службу поддержки Есть что обсудить? Присоединяйтесь 
в службу поддержки Есть что обсудить? Присоединяйтесь
к Честному Сообществу! Производитель/Импортер Представительства ДРУ Иностранные производители Дистрибьютор Медицинская организация Аптека Производитель/Импортер Представительства ДРУ Иностранные производители Дистрибьютор Медицинская организация Аптека Зарегистрироваться Заказ и оплата кодов маркировки Выбрать интегратора Нанести код маркировки и ввести в оборот Протестировать маркированные образцы продукции Зарегистрироваться Заказ и оплата кодов маркировки Выбрать интегратора Нанести код маркировки и ввести в оборот Протестировать маркированные образцы продукции Зарегистрироваться Заказ и оплата кодов маркировки Выбрать интегратора Нанести код маркировки и ввести в оборот Протестировать маркированные образцы продукции Зарегистрироваться Заказ и оплата кодов маркировки Выбрать интегратора Нанести код маркировки и ввести в оборот Протестировать маркированные образцы продукции Зарегистрироваться Заказ и оплата кодов маркировки Выбрать интегратора Нанести код маркировки и ввести в оборот Протестировать маркированные образцы продукции Зарегистрироваться Заказ и оплата кодов маркировки Выбрать интегратора Нанести код маркировки и ввести в оборот Протестировать маркированные образцы продукции Зарегистрироваться Заказ и оплата кодов маркировки Выбрать интегратора Нанести код маркировки и ввести в оборот Протестировать маркированные образцы продукции 1 Оформите усиленную квалифицированную электронную подпись на руководителя организации или ИП Сертификат электронной подписи на руководителя организации можно получить только в удостоверяющем центре ФНС России (с 1 января 2022 года). Если у вас уже есть электронная подпись, выданная удостоверяющим центром , который аккредитован Минкомсвязью России по новым правилам с 01 июля 2020 года, то вы можете использовать ее до 31 декабря 2022 года или до истечения срока действия сертификата. Подпись должна быть выпущена на лицо, имеющее право действовать от имени юридического лица/индивидуального предпринимателя без доверенности, указанное в ЕГРЮЛ/ЕГРИП. Подробнее о новых правилах получения усиленной квалифицированной электронной подписи Усиленная квалифицированная электронная подпись (УКЭП) и как ее получить 2 Установите программное обеспечение для работы с электронной подписью Программное обеспечение (СКЗИ, драйверы токенов) и инструкции по установке и настройке предоставляет ФНС России. Если вы не получили инструкцию по настройке, воспользуйтесь нашей инструкцией. Обзор и установка СКЗИ 3 Зарегистрируйтесь в системе мониторинга Перейдите на сайт mdlp.crpt.ru В открывшемся окне нажмите ссылку «Зарегистрируйтесь». В поле «Электронная подпись» из выпадающего списка выберите усиленную квалифицированную электронную подпись генерального директора организации,  на форме отобразятся сведения об организации. Если адрес электронной почты не отобразился, то его необходимо указать. Читать инструкцию Регистрация в личном кабинете Не нашли что искали? Задайте вопрос в службу поддержки Есть что обсудить? Присоединяйтесь к Честному Сообществу! 1 Закажите коды маркировки Заказ кодов маркировки происходит в СУЗ (станция управления заказами кодов маркировки). Способы осуществления заказов кодов маркировки (КМ): API личный кабинет ФГИС МДЛП Обязательными атрибутами для осуществления заказа кодов являются: товарная группа способ выпуска товара в оборот GTIN/код товара (состоит из 14 цифр) количество КМ, необходимых для заказа способ генерации серийного номера ИНН получателя/сервис-провайдера (если печать кодов происходит в типографии) Следует соблюдать следующие ограничения: одна товарная позиция (GTIN) в одном заказе не должна превышать 150000 кодов маркировки количество товарных позиций в одном бизнес-заказе не должно превышать 10 (1 бизнес-заказ – 10 GTIN) одновременно может быть не более 100 активных заказов Инструкция (для СУЗ, размещенных на площадке участника оборота)  (https://xn--80ajghhoc2aj1c8b.xn--p1ai/upload/iblock/9b1/Rukovodstvo-operatora_novyy-UI-SUZ_Proizvodstvo_-RU-15861920.620111_01-34-01_2-_30.12.2019_-05.pdf ).  (https://xn--80ajghhoc2aj1c8b.xn--p1ai/upload/iblock/9b1/Rukovodstvo-operatora_novyy-UI-SUZ_Proizvodstvo_-RU-15861920.620111_01-34-01_2-_30.12.2019_-05.pdf ). Инструкция (для «облачных» СУЗ)  (https://xn--80ajghhoc2aj1c8b.xn--p1ai/upload/iblock/9b2/Rukovodstvo-operatora_novyy-UI-SUZ_Oblako_-RU-15861920.620111_04-34-01_2-_29.01.2020_-17.pdf ).  (https://xn--80ajghhoc2aj1c8b.xn--p1ai/upload/iblock/9b2/Rukovodstvo-operatora_novyy-UI-SUZ_Oblako_-RU-15861920.620111_04-34-01_2-_29.01.2020_-17.pdf ). Станция управления заказами (СУЗ). Часть 1. Введение Станция управления заказами (СУЗ). Часть 2. Демонстрация web-интерфейса СУЗ Станция управления заказами (СУЗ). Часть 3. Демо API СУЗ 2 Оплатите коды маркировки Допускаются следующие варианты оплаты за коды: Оплата кодов маркировки происходит по эмиссии: Денежные средства резервируются в момент подписания заказа кодов, списываются при завершении эмиссии кодов (заказ кодов в статусе «Готов»). Срок жизни кода маркировки не отсчитывается. Оплата по отчету о нанесении: Денежные средства списываются с лицевого счета после успешной обработки отчета о нанесении. Срок жизни кода маркировки от момента эмиссии до успешной обработки отчета о нанесении 365 дней. Оплата кодов маркировки и закрывающие документы в системе маркировки Не нашли что искали? Задайте вопрос
в службу поддержки Есть что обсудить? Присоединяйтесь
к Честному Сообществу! Выберите интегратора По результатам подбора оптимального способа нанесения производитель составляет техническое задание, на основании которого осуществляется подбор технологического партнера. При этом следует обратить внимание на специализацию компании-интегратора. Типовое деление компаний осуществляется по следующим признакам: поставщики и интеграторы аппаратных частей (маркираторы, аппликаторы, принтеры, камеры тех. зрения); поставщики программных продуктов по интеграции с ФГИС МДЛП, учетными системами предприятия; компании, осуществляющие комплексное дооснащение предприятий под требования обязательной маркировки. Смотреть партнёров  (https://xn--80ajghhoc2aj1c8b.xn--p1ai/business/projects/medicines/partners/integrators/ ).  (https://xn--80ajghhoc2aj1c8b.xn--p1ai/business/projects/medicines/partners/integrators/ ).  (https://xn--80ajghhoc2aj1c8b.xn--p1ai/business/projects/medicines/partners/integrators/ ). Рекомендации по размещению кода Для обеспечения необходимого контраста между фоном и изображением символа с целью его гарантированного считывания и распознавания нельзя уменьшать размер 
                      свободной зоны. Наиболее предпочтительны способы нанесения средств идентификации, 
                      когда символ Data Matrix черного цвета впечатывается в область белого цвета, 
                      выделенную в дизайне. При производстве первичной упаковки/этикетки/стикеров с 
                      нанесенными символами Data Matrix, необходимо учитывать, что выполнение 
                      технологических операций, например, таких как покрытие лаком, ламинирование, 
                      после нанесения символов маркировки на поверхность первичной 
                      упаковки/этикетки/стикеров, может привести к снижению качества символов 
                      Data Matrix до уровня препятствующего вводу в оборот промаркированного товара. Не нашли что искали? Задайте вопрос
в службу поддержки Есть что обсудить? Присоединяйтесь
к Честному Сообществу! Нанесите код маркировки и введите в оборот После нанесения кодов необходимо передать в систему маркировки информацию об их нанесении и вводе в оборот. Не нашли что искали? Задайте вопрос
в службу поддержки Есть что обсудить? Присоединяйтесь
к Честному Сообществу! Выберите организацию для тестирования маркированных образцов продукции Производителям товаров доступно бесплатное предварительное тестирование образцов маркированной продукции на предмет считываемости оборудованием. Протестировать свою продукцию вы можете в специальной лаборатории компании ТрекМарк, созданной при поддержке Оператора-ЦРПТ, и непосредственно в крупных торговых сетях, входящих в Ассоциацию компаний розничной торговли. Обращаем внимание, что помимо соблюдения обязательных требований согласно положениям законодательства РФ об обязательной маркировке товаров ( Справочная информация о положениях ГОСТ  (https://%D1%87%D0%B5%D1%81%D1%82%D0%BD%D1%8B%D0%B9%D0%B7%D0%BD%D0%B0%D0%BA.%D1%80%D1%84/upload/Spravochnaya_informaciya_o_polozheniyah_GOST_R_ISO_MEK_16022_2008.pdf ).  (https://%D1%87%D0%B5%D1%81%D1%82%D0%BD%D1%8B%D0%B9%D0%B7%D0%BD%D0%B0%D0%BA.%D1%80%D1%84/upload/Spravochnaya_informaciya_o_polozheniyah_GOST_R_ISO_MEK_16022_2008.pdf ).  (https://%D1%87%D0%B5%D1%81%D1%82%D0%BD%D1%8B%D0%B9%D0%B7%D0%BD%D0%B0%D0%BA.%D1%80%D1%84/upload/Spravochnaya_informaciya_o_polozheniyah_GOST_R_ISO_MEK_16022_2008.pdf ) ), важно также учитывать практические рекомендации от торговых сетей. Рекомендации о нанесении средств идентификации (кодов маркировки) средство идентификации рекомендуется размещаться на ровной поверхности, на расстоянии минимум 0,5 мм от зон сгиба и шва упаковки; рекомендуется, чтобы этикетка, на которую наносится средство идентификации, была произведена по технологии, обеспечивающей её износостойкость и сохранение информации в течение всего времени транспортировки и хранения до окончания срока годности; необходимо обеспечить нанесение средства идентификации на упаковку в полном объеме, запрещено частичное обрезание средства идентификации; рекомендуется не наносить средство идентификации на бликующей или отражающей поверхности; средство идентификации рекомендуется наносить на контрастный фон за исключением красного фона, приоритетно белый фон, избегая близости к цветным зонам упаковки; при нанесении средства идентификации рекомендуется использовать черные чернила, что увеличивает качество считывания и скорость распознавания кода сканирующим оборудованием, также возможно нанесение средства идентификации белыми чернилами на темном фоне; средство идентификации рекомендуется наносить на неотделимые части упаковки товара; при нанесении маркировки печатным способом рекомендуется обеспечить расстояние не менее 10 см между средством идентификации и одномерным штрих-кодом формата EAN-13 или размещать на разных плоскостях в случае если нанесение на расстоянии 10 см и более не может быть соблюдено из-за меньших размеров упаковки или этикетки; средство идентификации рекомендуется размещать на хорошо просматриваемом участке упаковки; средство идентификации не должно перекрываться другой информацией на упаковке либо информацией на упаковочной этикетке; рекомендуется, чтобы размер средства идентификации составлял не менее 10х10 мм при высоком качестве печати (более от 150 dpi). При снижении качества печати этикетки рекомендуется увеличивать размер средства идентификации до 15х15 мм. Просканируйте вашу маркированную продукцию, чтобы минимизировать затраты на возврат и утилизацию маркированных товаров в связи с несчитываемостью средствами идентификации. Лаборатория ТрекМарк Лаборатория ТрекМарк оснащена более чем 15 (пятнадцатью) моделями сканирующих устройств, наиболее часто используемых по данным предприятий розничной торговли. Количество сканеров постоянно расширяется, в соответствии с потребностями участников оборота товаров. Направьте заявку на lab@trekmark.ru  (mailto:lab@trekmark.ru  (mailto:lab@trekmark.ru  (mailto:lab@trekmark.ru ) ) ). После оформления заявки направьте образцы продукции (до 100 ед.) в лабораторию  (https://trekmark.ru/contacts/ ).  (https://trekmark.ru/contacts/ ) по адресу: г. Москва, ул. Земляной Вал, 9 Получите отчет о верификации образцов продукции с указанием времени считывания и оценкой качества кода Пример отчёта  (https://%D1%87%D0%B5%D1%81%D1%82%D0%BD%D1%8B%D0%B9%D0%B7%D0%BD%D0%B0%D0%BA.%D1%80%D1%84/upload/%D0%9E%D1%82%D1%87%D0%B5%D1%82_%D0%BE_%D0%B2%D0%B5%D1%80%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D0%B8_DM_%D0%BF%D0%BB%D0%B0%D1%81%D1%82%D0%B8%D0%BA%D0%BE%D0%B2%D1%8B%D0%B5_%D0%BA%D1%80%D1%8B%D1%88%D0%BA%D0%B8_19082021.pdf ).  (https://%D1%87%D0%B5%D1%81%D1%82%D0%BD%D1%8B%D0%B9%D0%B7%D0%BD%D0%B0%D0%BA.%D1%80%D1%84/upload/%D0%9E%D1%82%D1%87%D0%B5%D1%82_%D0%BE_%D0%B2%D0%B5%D1%80%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D0%B8_DM_%D0%BF%D0%BB%D0%B0%D1%81%D1%82%D0%B8%D0%BA%D0%BE%D0%B2%D1%8B%D0%B5_%D0%BA%D1%80%D1%8B%D1%88%D0%BA%D0%B8_19082021.pdf ).  (https://%D1%87%D0%B5%D1%81%D1%82%D0%BD%D1%8B%D0%B9%D0%B7%D0%BD%D0%B0%D0%BA.%D1%80%D1%84/upload/%D0%9E%D1%82%D1%87%D0%B5%D1%82_%D0%BE_%D0%B2%D0%B5%D1%80%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D0%B8_DM_%D0%BF%D0%BB%D0%B0%D1%81%D1%82%D0%B8%D0%BA%D0%BE%D0%B2%D1%8B%D0%B5_%D0%BA%D1%80%D1%8B%D1%88%D0%BA%D0%B8_19082021.pdf ). X5 Retail Group (Перекресток, Пятерочка, Карусель) Направьте заявку и фото маркированных образцов ( в хорошем качестве) на почту markirovka-voda@x5.ru Ответ о результатах тестирования будет направлен на ваш e-mail в ответном письме. При необходимости получения/сканирования физических образцов – рассматривается в индивидуальном порядке по запросу на markirovka-voda@x5.ru  (mailto:markirovka-voda@x5.ru  (mailto:markirovka-voda@x5.ru  (mailto:markirovka-voda@x5.ru ) ) ). ООО «Ашан» (Ашан, Атак) Направьте заявку на markirovka@auchan.ru  (mailto:markirovka@auchan.ru  (mailto:markirovka@auchan.ru  (mailto:markirovka@auchan.ru ) ) ) и m.kondakov@auchan.ru  (mailto:m.kondakov@auchan.ru  (mailto:m.kondakov@auchan.ru  (mailto:m.kondakov@auchan.ru ) ) ). Оповестите в заявке об отправке образцов продукции, указав электронный(ые) адрес(а), для предоставления обратной связи. Получите протокол тестирования на заявленную электронную почту (~ через 7 рабочих дней после получения образцов). Адрес для направления образцов с кодами DataMartrix: Центральный офис (107140, Россия, Москва, ул. Верхняя Красносельская, дом 3А). Контактное лицо - Максим Кондаков. Подробная информация размещена на официальном сайте  (https://auchan-supply.ru/information/markirovannaya-produktsiya/ ).  (https://auchan-supply.ru/information/markirovannaya-produktsiya/ ).  (https://auchan-supply.ru/information/markirovannaya-produktsiya/ ) . ООО «Лента» (Лента) Направьте заявку на markirovka@lenta.com  (mailto:markirovka@lenta.com  (mailto:markirovka@lenta.com  (mailto:markirovka@lenta.com ) ) ). ООО «МЕТРО Кэш энд Керри» (МЕТРО) Направьте заявку на bulatov@metro-cc.ru  (mailto:ruslan.bulatov@metro-cc.ru  (mailto:ruslan.bulatov@metro-cc.ru  (mailto:ruslan.bulatov@metro-cc.ru ) ) ) и oksana.saprykina@metro-cc.ru  (mailto:oksana.saprykina@metro-cc.ru  (mailto:oksana.saprykina@metro-cc.ru  (mailto:oksana.saprykina@metro-cc.ru ) ) ). Тестирование проводится только на промаркированной продукции в реальных условиях. ОКЕЙ Направьте заявку на elena.slutskaya@okmarket.ru или mariya.rebonen@okmarket.ru Оповестите в заявке об отправке образцов продукции, указав электронный(ые) адрес(а), для предоставления обратной связи. В случае доставки образцов с возвратом в этот же день, необходимо уведомить за 1 день до доставки и согласовать время. Только рабочие дни недели. Адрес для направления образцов с кодами DataMartrix: г. Москва, ул. Кировоградская, 23 А, стр. 1, Бизнес-парк «Кристалл», этаж 4, с пометкой «для Елены Слуцкой, центр компетенций по маркировке Окей». Контакты специалистов: Елена Слуцкая, Ведущий специалист по процессам маркировки товаров направления изменений законодательства, +7 (495) 663-66-77, доб. 179, email: elena.slutskaya@okmarket.ru  (mailto:elena.slutskaya@okmarket.ru  (mailto:elena.slutskaya@okmarket.ru  (mailto:elena.slutskaya@okmarket.ru ) ) ). Мария Ребонен, Специалист по процессам маркировки товаров направления изменений законодательства, +7 (495) 663-66-77, доб. 179, email: mariya.rebonen@okmarket.ru  (mailto:mariya.rebonen@okmarket.ru  (mailto:mariya.rebonen@okmarket.ru  (mailto:mariya.rebonen@okmarket.ru ) ) ). Не нашли что искали? Задайте вопрос
в службу поддержки Есть что обсудить? Присоединяйтесь
к Честному Сообществу! Производитель/Импортер Представительства ДРУ Иностранные производители Дистрибьютор Медицинская организация Аптека Производитель/Импортер Представительства ДРУ Иностранные производители Дистрибьютор Медицинская организация Аптека Зарегистрироваться Обновить программное обеспечение Выбрать техническое решение для внедрения маркировки Зарегистрироваться Обновить программное обеспечение Выбрать техническое решение для внедрения маркировки Зарегистрироваться Обновить программное обеспечение Выбрать техническое решение для внедрения маркировки Зарегистрироваться Обновить программное обеспечение Выбрать техническое решение для внедрения маркировки Зарегистрироваться Обновить программное обеспечение Выбрать техническое решение для внедрения маркировки Зарегистрироваться Обновить программное обеспечение Выбрать техническое решение для внедрения маркировки Зарегистрироваться Обновить программное обеспечение Выбрать техническое решение для внедрения маркировки 1 Оформите усиленную квалифицированную электронную подпись на руководителя организации или ИП Сертификат электронной подписи на руководителя организации можно получить только в удостоверяющем центре ФНС России (с 1 января 2022 года). Если у вас уже есть электронная подпись, выданная удостоверяющим центром , который аккредитован Минкомсвязью России по новым правилам с 01 июля 2020 года, то вы можете использовать ее до 31 декабря 2022 года или до истечения срока действия сертификата. Подпись должна быть выпущена на лицо, имеющее право действовать от имени юридического лица/индивидуального предпринимателя без доверенности, указанное в ЕГРЮЛ/ЕГРИП. Подробнее о новых правилах получения усиленной квалифицированной электронной подписи Усиленная квалифицированная электронная подпись (УКЭП) и как ее получить 2 Установите программное обеспечение для работы с электронной подписью Программное обеспечение (СКЗИ, драйверы токенов) и инструкции по установке и настройке предоставляет ФНС России. Если вы не получили инструкцию по настройке, воспользуйтесь нашей инструкцией. Обзор и установка СКЗИ 3 Зарегистрируйтесь в системе мониторинга Перейдите на сайт mdlp.crpt.ru В открывшемся окне нажмите ссылку «Зарегистрируйтесь». В поле «Электронная подпись» из выпадающего списка выберите усиленную квалифицированную электронную подпись генерального директора организации,  на форме отобразятся сведения об организации. Если адрес электронной почты не отобразился, то его необходимо указать. Читать инструкцию Регистрация в личном кабинете Не нашли что искали? Задайте вопрос в службу поддержки Есть что обсудить? Присоединяйтесь к Честному Сообществу! Обновите систему товарного учёта, если необходимо Программное обеспечение для работы с маркированными товарами Если вы уже используете программное обеспечение для приемки или продажи товаров, то вам нужно его обновить до последней версии. Большинство производителей ПО сделали такие обновления бесплатными. Стоимость программного обеспечения может различаться в зависимости от версий. Уточняйте точную стоимость у поставщиков решений. Если вы еще не используете ПО в работе, то его приобретение не обязательно. Весь необходимый функционал для работы есть в личном кабинете системы маркировки. Список программ, которые поддерживают работу с маркированными товарами Перейти Не нашли что искали? Задайте вопрос
в службу поддержки Есть что обсудить? Присоединяйтесь
к Честному Сообществу! Подключите 2D сканер штрихкода, если ранее не использовался 2D Сканер штрих-кода Для считывания кодов с товаров при приемке или продаже на кассе необходимо использовать 2D-сканер штрих-кода. Необходимо проверить чтение кодов сканером , при необходимости обновить прошивку. Проверить чтение кодов сканером Перейти Не нашли что искали? Задайте вопрос
в службу поддержки Есть что обсудить? Присоединяйтесь
к Честному Сообществу! Производитель/Импортер Представительства ДРУ Иностранные производители Дистрибьютор Медицинская организация Аптека Производитель/Импортер Представительства ДРУ Иностранные производители Дистрибьютор Медицинская организация Аптека Зарегистрироваться Обновить программное обеспечение Выбрать техническое решение для внедрения маркировки Зарегистрироваться Обновить программное обеспечение Выбрать техническое решение для внедрения маркировки Зарегистрироваться Обновить программное обеспечение Выбрать техническое решение для внедрения маркировки Зарегистрироваться Обновить программное обеспечение Выбрать техническое решение для внедрения маркировки Зарегистрироваться Обновить программное обеспечение Выбрать техническое решение для внедрения маркировки Зарегистрироваться Обновить программное обеспечение Выбрать техническое решение для внедрения маркировки Зарегистрироваться Обновить программное обеспечение Выбрать техническое решение для внедрения маркировки 1 Оформите усиленную квалифицированную электронную подпись на руководителя организации или ИП Сертификат электронной подписи на руководителя организации можно получить только в удостоверяющем центре ФНС России (с 1 января 2022 года). Если у вас уже есть электронная подпись, выданная удостоверяющим центром , который аккредитован Минкомсвязью России по новым правилам с 01 июля 2020 года, то вы можете использовать ее до 31 декабря 2022 года или до истечения срока действия сертификата. Подпись должна быть выпущена на лицо, имеющее право действовать от имени юридического лица/индивидуального предпринимателя без доверенности, указанное в ЕГРЮЛ/ЕГРИП. Подробнее о новых правилах получения усиленной квалифицированной электронной подписи Усиленная квалифицированная электронная подпись (УКЭП) и как ее получить 2 Установите программное обеспечение для работы с электронной подписью Программное обеспечение (СКЗИ, драйверы токенов) и инструкции по установке и настройке предоставляет ФНС России. Если вы не получили инструкцию по настройке, воспользуйтесь нашей инструкцией. Обзор и установка СКЗИ 3 Зарегистрируйтесь в системе мониторинга Перейдите на сайт mdlp.crpt.ru В открывшемся окне нажмите ссылку «Зарегистрируйтесь». В поле «Электронная подпись» из выпадающего списка выберите усиленную квалифицированную электронную подпись генерального директора организации,  на форме отобразятся сведения об организации. Если адрес электронной почты не отобразился, то его необходимо указать. Читать инструкцию Регистрация в личном кабинете Не нашли что искали? Задайте вопрос в службу поддержки Есть что обсудить? Присоединяйтесь к Честному Сообществу! 1 Обновите прошивку онлайн-кассы Для продажи/возврата продукции подойдет любая контрольно-кассовая техника, соответствующая 54 ФЗ. Список поставщиков и решений Перейти 2 Обновите систему товарного учёта, если необходимо Программное обеспечение для работы с маркированными товарами Если вы уже используете программное обеспечение для приемки или продажи товаров, то вам нужно его обновить до последней версии. Большинство производителей ПО сделали такие обновления бесплатными.
Стоимость программного обеспечения может различаться в зависимости от версий. Уточняйте точную стоимость у поставщиков решений.
Если вы еще не используете ПО в работе, то его приобретение не обязательно. Весь необходимый функционал для работы есть в личном кабинете системы маркировки. Список программ, которые поддерживают работу с маркированными товарами Перейти Не нашли что искали? Задайте вопрос
в службу поддержки Есть что обсудить? Присоединяйтесь
к Честному Сообществу! Подключите 2D сканер штрихкода, если ранее не использовался 2D Сканер штрих-кода Для считывания кодов с товаров при приемке или продаже на кассе необходимо использовать 2D-сканер штрих-кода. Необходимо проверить чтение кодов сканером , при необходимости обновить прошивку. Проверить чтение кодов сканером Перейти Не нашли что искали? Задайте вопрос
в службу поддержки Есть что обсудить? Присоединяйтесь
